Ranking,Tier,Player ID,Player,Position,Team,Age
469,14,*02bx4*,Clay Holmes,P,NYM,31.9
470,14,*05sr2*,Michael McGreevy,P,STL,24.6
471,14,*04pmb*,Kris Bubic,P,KC,27.5
472,14,*03ann*,Jeff Hoffman,P,TOR,32.1
473,14,*05rc3*,Masataka Yoshida,UT,BOS,31.6
474,14,*0312g*,Tyler Mahle,P,TEX,30.4
475,14,*04ywk*,Tylor Megill,P,NYM,29.5
476,14,*04g1x*,David Peterson,P,NYM,29.4
477,14,*04b01*,Tomoyuki Sugano,P,BAL,35.3
478,14,*04ru7*,Miguel Vargas,"2B,3B,OF",CHW,25.2
479,14,*05u9o*,Sal Stewart,"2B,3B",CIN,21.2
480,14,*026lz*,Josh Bell,1B,WSH,38.3
481,14,*05mru*,Thomas Saggese,SS,STL,22.8
482,14,*0641c*,Zach Dezenzo,3B,HOU,24.8
483,14,*0603p*,Hurston Waldrep,P,ATL,23
484,14,*051dl*,Edouard Julien,2B,MIN,25.8
485,14,*029si*,Eduardo Rodriguez,P,ARI,31.9
486,14,*05gef*,Cade Cavalli,P,WSH,26.5
487,14,*05u2u*,Tyler Black,1B,MIL,24.5
488,14,*04eld*,J.P. Sears,P,OAK,29
489,14,*04mms*,Orelvis Martinez,SS,TOR,23.2
490,14,*05xu8*,Tyler Locklear,1B,SEA,24.2
491,14,*05rc5*,Termarr Johnson,"2B,SS",PIT,20.7
492,14,*041r5*,Dustin May,P,LAD,27.4
493,14,*051aa*,Porter Hodge,P,CHC,24
494,14,*06hv8*,Logan Evans,P,SEA,23.7
495,14,*061mh*,Robby Snelling,P,MIA,21.1
496,14,*060gg*,Adam Mazur,P,MIA,23.8
497,14,*0597k*,Nick Gonzales,2B,PIT,25.7
498,14,*064o4*,Demetrio Crisantes,2B,ARI,20.4
499,14,*064o6*,Gary Gill Hill,P,TB,20.4
500,14,*05y3q*,Blake Mitchell,C,KC,20.5
