Ranking,Tier,Player,Team,Position,Signed,ETA,Age,Prev Rank,Movement,OBP,Player ID,In-Person Look
316,11,Blake Burke,MIL,1B,2024,2026,21.4,291,-25,,*062jb*,
317,12,Gabriel Rodriguez,CLE,SS,2024,2028,17.5,293,-24,,*06jgx*,
318,12,Griff O'Ferrall,BAL,SS,2024,2026,21.8,294,-24,,*062k7*,
319,12,Kaelen Culpepper,MIN,3B,2024,2026,21.9,295,-24,,*06hx4*,
320,12,Emilien Pitre,TB,2B,2024,2026,22.1,296,-24,,*06nua*,
321,12,Dante Nori,PHI,OF,2024,2027,20.1,297,-24,,*06ien*,
322,12,Dakota Jordan,SF,OF,2024,2026,21.5,298,-24,,*067yf*,
323,12,Joey Oakie,CLE,P,2024,2027,18.5,299,-24,,*06hf0*,
324,12,Boston Bateman,SD,P,2024,2027,19.2,300,-24,,*06kkb*,
325,12,Brody Brecht,COL,P,2024,2026,22.1,301,-24,,*05ybz*,
326,12,Drew Beam,KC,1B,2024,2026,18.8,302,-24,,*060ig*,
327,12,Gage Jump,OAK,P,2024,2026,21.6,303,-24,,*05t9g*,
328,12,Luke Holman,CIN,P,2024,2026,21.9,304,-24,,*05yh6*,
329,12,Ben Hess,NYY,P,2024,2026,22.2,305,-24,,*066iq*,
330,12,Chase Meidroth,BOS,3B,2022,2025,23.3,306,-24,,*0648n*,Y
331,12,Josh Knoth,MIL,P,2023,2026,19.3,307,-24,,*069zn*,Y
332,12,Elmer Rodriguez-Cruz,BOS,P,2021,2025,21.3,309,-23,,*05xoo*,Y
333,12,Samuel Zavala,CHW,OF,2021,2026,20.3,310,-23,UP,*05rdr*,Y
334,12,Charlee Soto,MIN,P,2023,2026,19.2,311,-23,,*05zq5*,Y
335,12,Anderson Brito,HOU,P,2023,2027,20.4,371,36,,*06me7*,
336,12,Edward Lantigua,NYM,OF,2024,2028,18,NR,NA,,*06ice*,
337,12,Jadher Areinamo,MIL,SS,2021,2026,21,323,-14,,*062l0*,Y
338,12,Payton Martin,LAD,P,2022,2026,20.5,389,51,,*066dq*,
339,12,Alexander Canario,CHC,OF,2016,Debuted,24.5,316,-23,,*04hi6*,Y
340,12,Tytus Cissell,ARI,SS,2024,2027,18.6,436,96,,*06q32*,
341,12,Henry Bolte,OAK,OF,2022,2026,21.3,318,-23,UP,*05y7t*,Y
342,12,Zander Mueth,PIT,P,2023,2026,19.4,319,-23,,*05y3m*,Y
343,12,Trey Sweeney,DET,SS,2021,Debuted,24.6,320,-23,,*05tuw*,Y
344,12,Nelson Rada,LAA,OF,2022,2027,19.2,321,-23,,*05yib*,
345,12,Rayner Arias,SF,OF,2023,2026,18.6,322,-23,,*066mw*,
346,12,Michael Burrows,PIT,P,2018,Debuted,25,370,24,,*04pvl*,Y
347,12,Jhancarlos Lara,ATL,P,2021,2026,21.8,324,-23,,*06cev*,Y
348,12,Hector Rodriguez,CIN,OF,2021,2026,20.7,189,-159,,*05xse*,
349,12,Jared Thomas,PHI,C,2024,2026,21.4,326,-23,,*06ht6*,
350,12,Henry Lalane,NYY,P,2021,2026,20.5,327,-23,,*05ym5*,
351,12,Jake Miller,DET,P,2022,2025,23.4,623,272,,*066ch*,Y
352,12,Carlson Reed,PIT,P,2023,2026,22,424,72,,*06hvy*,Y
353,12,Joe Mack,MIA,C,2021,2026,21.9,403,50,,*05rcd*,Y
354,12,Jeter Martinez,SEA,P,2023,2027,18.7,539,185,,*066m6*,
355,12,Bishop Letson,MIL,P,2023,2026,20.2,450,95,,*06gjw*,
356,12,Cayden Wallace,WSH,3B,2022,2025,23.3,333,-23,,*05jq9*,Y
357,12,Yasser Mercedes,MIN,OF,2022,2026,20,334,-23,,*05ych*,Y
358,12,Garrett Baumann,ATL,P,2023,2027,20.3,407,49,,*06aqk*,Y
359,12,Luis Guanipa,ATL,OF,2023,2028,18.9,325,-34,,*066me*,Y
360,12,Keyner Benitez,MIA,P,2023,2027,18.5,846,486,,*06bs9*,
361,12,Dasan Hill,MIN,P,2024,2027,18.9,338,-23,,*06mnh*,
362,12,Owen Hall,DET,P,2024,2027,19,339,-23,,*06hey*,
363,12,Jaxon Wiggins,CHC,P,2023,2025,23.1,340,-23,,*05u2p*,
364,12,Ian Seymour,TB,P,2020,2025,25.9,341,-23,,*05jpd*,
365,12,Richard Fitts,BOS,P,2021,Debuted,24.9,342,-23,,*05rav*,Y
366,12,Ty Madden,DET,P,2021,Debuted,24.7,343,-23,,*05oqe*,Y
367,12,Jacob Bresnahan,SF,P,2023,2026,19.4,344,-23,,*06ht3*,Y
368,12,Aron Estrada,BAL,2B,2022,2026,19.8,345,-23,,*0630n*,
369,12,Jagger Haynes,SD,P,2020,2026,22.2,346,-23,,*05lfz*,
370,12,Juneiker Caceres,CLE,OF,2024,2028,17.3,347,-23,,*06mmx*,
371,12,Joswa Lugo,LAA,SS,2024,2028,17.8,348,-23,,*06ica*,
372,13,Caleb Lomavita,WSH,C,2024,2026,22,349,-23,,*06ibi*,Y
373,13,Edgleen Perez,NYY,C,2023,2027,18.5,461,88,,*06iej*,Y
374,13,Elvin Garcia,BAL,SS,2024,2027,17.8,360,-14,,*06jgz*,
375,13,Rainiel Rodriguez,STL,"3B,SS",2024,2027,17.9,351,-24,,*06mnp*,
376,13,Otto Kemp,PHI,3B,2022,2025,25.2,581,205,,*066al*,Y
377,13,Ethan Anderson,BAL,1B,2024,2026,21.2,353,-24,,*06dqr*,
378,13,Chase Harlan,LAD,3B,2024,2027,18.4,561,183,,*06kjz*,
379,13,Connor Prielipp,MIN,P,2022,2025,23.9,368,-11,,*05joq*,
380,13,Tony Blanco Jr.,PIT,OF,2022,2027,19.5,356,-24,,*05yci*,Y
381,13,Ryan Gusto,HOU,P,2019,Debuted,25.7,357,-24,,*0518s*,
382,13,C.J. Culpepper,MIN,P,2022,2025,23,358,-24,,*065j0*,Y
383,13,Tjayy Walton,PHI,OF,2023,2027,19.8,292,-91,,*05u9p*,Y
384,13,Caleb Durbin,NYY,SS,2021,2025,24.7,416,32,,*05y4b*,Y
385,13,Victor Lizarraga,SD,P,2021,2026,21,361,-24,,*05n5o*,
386,13,Mick Abel,PHI,P,2020,2025,23.2,362,-24,,*05g4k*,Y
387,13,Lazaro Estrada,TOR,P,2018,2025,25.6,372,-15,,*04up8*,Y
388,13,Gavin Cross,KC,OF,2022,2025,23.8,364,-24,,*05tcd*,Y
389,13,Andrew Walters,CLE,P,2023,Debuted,23.9,451,62,,*061a8*,
390,13,Craig Yoho,MIL,P,2023,2025,25.1,365,-25,,*06fzq*,
391,13,Skylar Hales,TEX,P,2023,2025,23.1,366,-25,,*06ew1*,Y
392,13,Troy Taylor,SEA,P,2022,Debuted,23.2,367,-25,,*065ns*,
393,13,Marc Church,TEX,P,2019,Debuted,23.6,1177,784,,*051du*,Y
394,13,Jordan Sanchez,BAL,OF,2024,2027,19.1,373,-21,,*06ie9*,
395,13,Jackson Nezuh,HOU,P,2023,2026,22.8,369,-26,,*06dlx*,Y
396,13,RJ Schreck,TOR,OF,2023,2025,24.4,453,57,,*0603l*,
397,13,Jordy Vargas,COL,P,2021,2026,21,778,381,,*05un4*,
398,13,Sammy Siani,PIT,OF,2019,2025,23.9,672,274,,*04yik*,Y
399,13,Trevor Martin,TB,P,2022,2025,23.9,423,24,,*06309*,Y
400,13,Brian Holiday,STL,P,2024,2026,21.5,374,-26,,*06nuf*,
401,13,Aiden May,MIA,P,2024,2026,21.6,375,-26,,*06mwh*,
402,13,Ryan Forcucci,HOU,P,2024,2026,22,376,-26,,*06kkj*,
403,13,Johnny King,TOR,P,2024,2027,18.3,377,-26,,*06n3o*,
404,13,Blake Larson,CHW,P,2024,2027,18.7,378,-26,,*05ydm*,
405,13,Thatcher Hurd,NYY,P,2024,2026,21.9,379,-26,,*05t9k*,
406,13,Bryce Meccage,MIL,P,2024,2026,18.7,400,-6,,*06mnf*,
407,13,David Shields,KC,P,2024,2027,18.2,381,-26,,*06kke*,
408,13,Chris Cortez,LAA,P,2024,2025,22.1,382,-26,,*066kw*,
409,13,Drew Romo,COL,C,2020,Debuted,23.2,401,-8,,*05gwr*,Y
410,13,Seth Johnson,PHI,P,2019,Debuted,26.2,610,200,,*0511t*,
411,13,Kleimir Lemos,TEX,1B,2022,2027,19.5,384,-27,,*06c0y*,
412,13,Gabriel Hughes,COL,P,2022,2026,23.2,971,559,,*05ubl*,
413,13,Ricardo Olivar,MIN,C,2021,2025,23.3,386,-27,,*06437*,Y
414,13,Jimmy Crooks,STL,C,2022,2025,23.3,387,-27,,*06434*,Y
415,13,Tyler Stuart,WSH,P,2022,2025,25.1,388,-27,,*0648p*,Y
416,13,Logan Wagner,LAD,SS,2022,2025,20.7,332,-84,UP,*06497*,
417,13,Ryan Lobus,TEX,P,2023,2025,24.2,390,-27,,*06htt*,Y
418,13,Andres Valor,MIA,OF,2023,2027,19,443,25,,*06aq4*,
419,13,Devin Saltiban,PHI,2B,2023,2026,19.8,465,46,,*06ekm*,Y
420,13,Brock Porter,TEX,P,2022,2026,21.5,392,-28,,*05u6h*,Y
421,13,Walker Martin,SF,SS,2023,2026,20.7,393,-28,,*066t4*,
422,13,Everson Pereira,NYY,OF,2017,Debuted,23.6,394,-28,,*04is5*,Y
423,13,Fernando Cruz,CIN,P,2024,2027,18,395,-28,,*05ym7*,
424,13,Tekoah Roby,STL,P,2020,2025,23.2,396,-28,,*05jqh*,Y
425,13,Marco Raya,MIN,P,2020,2025,22.3,397,-28,,*05mrp*,Y
426,13,Bo Davidson,SF,OF,2023,2026,22.4,398,-28,,*06hua*,
427,13,Jose Anderson,MIL,OF,2024,2028,18,399,-28,,*06me6*,
428,13,Mavis Graves,PHI,P,2022,2026,21,359,-69,,*06578*,
429,14,Creed Willems,BAL,C,2021,2025,21.5,653,224,UP,*05y3x*,Y
430,14,Austin Gauthier,LAD,SS,2021,2025,25.5,315,-115,UP,*0629a*,
431,14,Cole Messina,COL,C,2024,2026,21.5,402,-29,,*06k7q*,Y
432,14,Dillon Head,MIA,OF,2023,2026,20.1,482,50,,*066nq*,Y
433,14,Graham Pauley,MIA,3B,2022,Debuted,24.1,314,-119,,*066lr*,Y
434,14,Jacob Gonzalez,PHI,3B,2023,2025,22.5,404,-30,,*04ef2*,Y
435,14,Ching-Hsien Ko,LAD,OF,2024,2028,18.3,NR,NA,,*06oh1*,
436,14,Adam Serwinowski,CIN,P,2022,2026,20.4,406,-30,,*066az*,
437,14,Blake Burkhalter,ATL,P,2022,2025,24.2,513,76,,*0630k*,Y
438,14,Edward Florentino,PIT,"1B,P",2024,2028,18,509,71,,*06mh4*,
439,14,Justin Gonzales,BOS,1B,2024,2028,17.9,627,188,,*06mff*,
440,14,Steven Zobac,KC,P,2022,2025,24.1,428,-12,,*06488*,Y
441,14,Blake Money,BAL,P,2023,2026,23,410,-31,,*05zyc*,
442,14,Henry Baez,SD,P,2021,2025,22.1,411,-31,,*05iyp*,
443,14,Julian Aguiar,CIN,P,2021,Debuted,23.5,412,-31,,*05yg3*,
444,14,Juan Baez,MIL,SS,2022,2026,19.4,533,89,,*06c2b*,
445,14,Luis Lara,ARI,3B,2022,2026,20,499,54,,*04fpx*,Y
446,14,Billy Cook,PIT,"1B,OF",2021,Debuted,25.9,414,-32,,*05y46*,Y
447,14,Matthew Etzel,TB,OF,2023,2025,22.6,415,-32,,*06fut*,Y
448,14,Robert Hassell,WSH,OF,2020,2025,23.3,363,-85,,*05gbe*,Y
449,14,Mason Barnett,OAK,P,2022,2025,24,425,-24,,*0630h*,Y
450,14,Braxton Bragg,BAL,P,2023,2026,24.1,417,-33,,*06fzr*,
451,14,Aroon Escobar,PHI,3B,2022,2027,19.9,938,487,,*06423*,
452,14,Troy Melton,DET,P,2022,2025,24,419,-33,,*05uc4*,
453,14,Keeler Morfe,BAL,P,2023,2028,18.4,NR,NA,,*06akv*,
454,14,Austin Peterson,CLE,P,2022,2025,25.2,421,-33,,*061bn*,
455,14,Kyle Hurt,LAD,P,2020,Debuted,26.5,422,-33,,*05jq7*,
456,14,Cameron Cauley,TEX,SS,2021,2025,21.8,429,-27,,*05uvx*,Y
457,14,William Bergolla,CHW,SS,2022,2026,20.1,409,-48,,*05w8l*,Y
458,14,Conrad Cason,BOS,SS,2024,2027,18.3,434,-24,,*06nzs*,
459,14,Allan Castro,BOS,OF,2019,2025,21.5,426,-33,,*061yp*,Y
460,14,Juan Valera,BOS,P,2023,2027,18.5,427,-33,,*06mlb*,Y
461,14,Arnaldo Lantigua,LAD,OF,2023,2027,18.9,783,322,,*066mp*,
462,14,Filippo Di Turi,MIL,SS,2023,2026,19,383,-79,,*066mf*,Y
463,14,Spencer Nivens,KC,OF,2023,2025,23,430,-33,,*06dn8*,Y
464,14,Chandler Simpson,TB,2B,2022,2025,24,431,-33,,*0622w*,Y
465,14,Nehomar Ochoa,HOU,OF,2023,2026,19.3,432,-33,,*06fto*,Y
466,14,Gage Miller,MIA,3B,2024,2026,21.7,433,-33,,*06nud*,
467,14,John Gil,ATL,3B,2023,2027,18.5,535,68,,*06hsz*,Y
468,14,Trey Gregory-Alford,LAA,P,2024,2027,18.5,435,-33,,*06kk7*,
469,14,Yu-Min Lin,ARI,P,2021,2025,21.4,581,112,,*061wi*,Y
470,14,Carson Palmquist,COL,P,2022,2026,24.1,600,130,,*05ybw*,
471,14,Bryce Cunningham,NYY,P,2024,2026,21.9,437,-34,,*06l3m*,
472,14,Darlin Saladin,STL,P,2019,2025,21.9,438,-34,,*06lu6*,
473,14,Brad Lord,WSH,P,2022,2025,24.8,439,-34,,*066du*,
474,14,Cory Lewis,MIN,P,2022,2025,24.1,440,-34,,*060hm*,
475,14,Josh Stephan,TEX,P,2020,2025,23,709,234,,*05y5g*,Y
476,14,David Davalillo,TEX,P,2022,2026,22.2,441,-35,,*06mio*,
477,14,Cristian Mena,ARI,P,2019,Debuted,21.9,546,69,,*05ita*,
478,14,Herick Hernandez,ATL,P,2024,2026,21.3,452,-26,,*06oo1*,
479,14,Franyerber Montilla,DET,2B,2022,2026,19.6,464,-15,,*064og*,Y
480,14,Jose Gonzalez,TEX,P,2019,2025,23.3,445,-35,,*06mcd*,
481,14,Cameron Sullivan,CLE,P,2024,2027,18.7,446,-35,,*06pqm*,
482,14,Chase Mobley,CLE,P,2024,2027,18.4,447,-35,,*05uc1*,
483,14,Mike Sirota,CIN,OF,2024,2026,21.4,448,-35,,*066ip*,
484,14,Carlos Jorge,CIN,SS,2021,2026,21.2,449,-35,UP,*05rf5*,
485,14,Leonardo Bernal,STL,C,2021,2025,20.8,742,257,UP,*05rcw*,Y
486,14,Jorge Quintana,MIL,SS,2024,2028,17.6,674,188,,*06ibm*,
487,14,Landen Maroudis,TOR,P,2023,2027,19.9,451,-36,,*06dq2*,
488,14,Anthony Solometo,PIT,P,2021,2025,22,454,-34,,*05t7a*,Y
489,14,Yordany De Los Santos,PIT,SS,2022,2026,19.7,455,-34,,*05ygt*,Y
490,14,George Valera,CLE,OF,2017,2025,24,456,-34,UP,*04fqi*,Y
491,14,Victor Mesa Jr.,MIA,OF,2018,2025,23.2,457,-34,,*04y79*,Y
492,14,Leo Balcazar,CIN,SS,2021,2026,20.4,458,-34,,*05unp*,
493,14,Dawel Joseph,SEA,SS,2024,2028,17.5,459,-34,,*06hys*,
494,14,Yahil Melendez,CHC,SS,2023,2027,19.3,586,92,,*06fqw*,
495,14,Chen Zhong-Ao Zhuang,OAK,P,2021,2026,24.2,496,1,,*05zdc*,
496,14,Michael Forret,BAL,P,2023,2026,20.6,511,15,,*06hwt*,Y
497,14,Daniel Susac,OAK,C,2022,2025,23.5,462,-35,,*05jpu*,
498,14,John Garcia,HOU,C,2022,2025,24.1,463,-35,,*066fk*,Y
499,14,Blake Wolters,KC,P,2023,2026,20.1,487,-12,,*06c1k*,Y
500,14,Hiro Wyatt,KC,P,2023,2026,20.2,519,19,,*06dqf*,Y
