Ranking,Player,Position,Team,Age,Previous,Movement,Tier,Player ID
402,Jose Ferrer,P,WSH,25.6,561,159,13,*062ob*
403,Spencer Arrighetti,P,HOU,23.8,387,-16,13,*05y0j*
404,Mike Yastrzemski,"OF,P",KC,35.1,397,-7,13,*031dw*
405,Luis Severino,P,ATH,31.6,399,-6,13,*03ab0*
406,Luis Perales,P,BOS,22.5,496,90,13,*05gd5*
407,Patrick Bailey,C,SF,26.4,628,221,13,*04yuu*
408,Mickey Moniak,OF,COL,27.4,459,51,13,*041e2*
409,Andres Gimenez,2B,TOR,27.1,389,-20,13,*03pzn*
410,Chandler Simpson,OF,TB,24.9,395,-15,13,*0622w*
411,Nick Castellanos,OF,PHI,33.6,396,-15,13,*01uc9*
412,Andrew Benintendi,OF,CHW,31.3,431,19,13,*03pdw*
413,Nathaniel Lowe,1B,WSH,30.3,398,-15,13,*041xv*
414,Sean Murphy,C,ATL,31,418,4,13,*03aoy*
415,Noah Schultz,P,CHW,22.2,400,-15,13,*05uc7*
416,Jacob Lopez,P,ATH,27.6,464,48,13,*051ui*
417,Quinn Mathews,P,STL,25,402,-15,13,*060gd*
418,Hector Rodriguez,OF,CIN,21.6,445,27,13,*05xse*
419,Sean Burke,P,CHW,25.8,426,7,13,*05xod*
420,Ian Seymour,P,TB,26.8,641,221,13,*05jpd*
421,Devin Williams,P,NYY,31,406,-15,13,*0311c*
422,Abner Uribe,P,MIL,25.3,407,-15,13,*05nso*
423,Justin Martinez,P,ARI,24.2,408,-15,13,*05acp*
424,Slade Cecconi,P,CLE,26.3,452,28,13,*04tk1*
425,Tyler Bremner,P,LAA,21.5,410,-15,13,*06icx*
426,Landen Roupp,P,SF,27.1,361,-65,13,*05y72*
427,Trey Gibson,P,BAL,23.4,412,-15,13,*06mc1*
428,J.P. Crawford,SS,SEA,30.7,436,8,13,*0310z*
429,Nolan Arenado,3B,STL,34.5,414,-15,13,*01sy3*
430,David Bednar,P,NYY,31,289,-141,13,*04aqc*
431,Joe Boyle,P,TB,26.1,416,-15,13,*05jpk*
432,Cole Young,"2B,SS",SEA,22.2,368,-64,13,*05y7x*
433,Aroon Escobar,2B,PHI,20.8,391,-42,13,*06423*
434,Otto Kemp,"1B,2B,3B,OF",PHI,26.1,549,115,13,*066al*
435,Brandon Sproat,P,NYM,25.1,492,57,13,*0515o*
436,Johan Oviedo,P,PIT,27.6,645,209,13,*04674*
437,Grant Taylor,P,CHW,23.4,422,-15,13,*066er*
438,Eduardo Tait,C,MIN,19.1,423,-15,13,*06bsb*
439,A.J. Puk,P,ARI,30.5,424,-15,13,*03yso*
440,Alex Freeland,SS,LAD,24.1,383,-57,13,*05xu1*
441,Harry Ford,C,SEA,22.6,507,66,13,*05raw*
442,Cade Cavalli,P,WSH,27.1,462,20,13,*05gef*
443,Jacob Reimer,3B,NYM,21.6,486,43,13,*06481*
444,Kendry Chourio,P,KC,18,NR,NA,13,*06rm6*
445,Gage Jump,P,ATH,22.5,455,10,13,*05t9g*
446,Kaelen Culpepper,SS,MIN,22.8,430,-16,13,*06hx4*
447,Khal Stephen,P,CLE,22.8,474,27,13,*06nub*
448,J.R. Ritchie,P,ATL,22.3,475,27,13,*05tzo*
449,Michael Wacha,P,KC,34.3,535,86,14,*02iug*
450,Yusei Kikuchi,P,LAA,34.3,432,-18,14,*04ml0*
451,Mike Burrows,P,PIT,25.9,601,150,14,*04pvl*
452,David Festa,P,MIN,25.6,434,-18,14,*05yav*
453,Pavin Smith,"1B,OF,P",ARI,29.7,435,-18,14,*04alq*
454,Eduardo Rodriguez,P,ARI,32.5,517,63,14,*029si*
455,C.J. Kayfus,"1B,OF",CLE,23.9,500,45,14,*06dn6*
456,Zach Eflin,P,BAL,31.5,438,-18,14,*02mwq*
457,Braxton Ashcraft,P,PIT,26,439,-18,14,*04pmq*
458,Dean Kremer,P,BAL,29.8,440,-18,14,*041yb*
459,Jeferson Quero,C,MIL,23,441,-18,14,*05gss*
460,Ricky Tiedemann,P,TOR,23.1,442,-18,14,*05js6*
461,Juneiker Caceres,OF,CLE,18.1,NR,NA,14,*06mmx*
462,Franklin Arias,"2B,SS",BOS,19.9,443,-19,14,*06c78*
463,Jake Burger,"1B,3B",TEX,29.5,446,-17,14,*04azv*
464,Hagen Smith,P,CHW,22.1,447,-17,14,*05zd4*
465,Angel Genao,SS,CLE,21.4,362,-103,14,*05r5e*
466,Grant Holmes,P,ATL,29.5,467,1,14,*03d6p*
467,David Peterson,P,NYM,30.1,401,-66,14,*04g1x*
468,Jorge Soler,"OF,UT",LAA,33.6,451,-17,14,*02i11*
469,Bo Naylor,C,CLE,25.6,603,134,14,*04mrn*
470,Mick Abel,P,MIN,24.1,453,-17,14,*05g4k*
471,Nick Martinez,P,CIN,35.2,454,-17,14,*02c4q*
472,Max Scherzer,P,TOR,41.2,456,-16,14,*004ee*
473,Hunter Barco,P,PIT,24.8,488,15,14,*04nb5*
474,Owen Murphy,P,ATL,22,458,-16,14,*062pm*
475,Simeon Woods-Richardson,P,MIN,25,614,139,14,*04pmp*
476,Colby Thomas,OF,ATH,24.7,476,0,14,*0630e*
477,Joe Mack,C,MIA,22.8,515,38,14,*05rcd*
478,Jose Caballero,"2B,3B,SS,OF,P",NYY,29.1,631,153,14,*04eig*
479,Josh Bell,1B,WSH,33.2,560,81,14,*026lz*
480,Victor Robles,OF,SEA,28.4,463,-17,14,*03c65*
481,Ryan Mountcastle,1B,BAL,28.6,405,-76,14,*03pjl*
482,Lane Thomas,OF,CLE,30.1,465,-17,14,*03dei*
483,Isaac Collins,"OF,UT",MIL,28.2,466,-17,14,*0516n*
484,Jonathan India,"2B,3B,OF",KC,28.8,415,-69,14,*04nx3*
485,Joe Musgrove,P,SD,32.8,468,-17,14,*02bqy*
486,Michael Forret,P,BAL,21.5,531,45,14,*06hwt*
487,Ronny Mauricio,"2B,3B",NYM,24.5,470,-17,14,*04fyo*
488,Miguel Andujar,"3B,OF",ATH,30.6,471,-17,14,*02i3l*
489,Josh Smith,"1B,3B,SS,OF",TEX,28.7,472,-17,14,*052ru*
490,Chris Bassitt,P,TOR,36.6,473,-17,14,*02c2h*
491,Cam Collier,3B,CIN,20.9,425,-66,14,*05u1y*
492,Johnny King,P,TOR,19.2,499,7,14,*06n3o*
493,Hyeseong Kim,"2B,SS,OF",LAD,26.7,469,-24,14,*06in4*
494,Jeff McNeil,"2B,OF",NYM,33.5,477,-17,14,*0317o*
495,Didier Fuentes,P,ATL,20.3,498,3,14,*064zm*
496,Caden Scarborough,P,TEX,20.5,NR,NA,14,*06f1j*
497,Pedro Pages,C,STL,27.1,479,-18,14,*0514k*
498,Hayden Birdsong,P,SF,24.1,363,-135,14,*06650*
499,Justin Crawford,OF,PHI,21.7,516,17,14,*05y30*
500,Drew Gilbert,OF,SF,25,485,-15,14,*05xu0*
