Ranking,Player,Position,Team,Age,Previous,Movement,Tier,Player ID
404,Cody Ponce,P,TOR,31.7,NR,NA,13,*03pj4*
405,Spencer Arrighetti,P,HOU,24.1,403,-2,13,*05y0j*
406,Lourdes Gurriel Jr.,OF,ARI,32.3,389,-17,13,*03nri*
407,Carlos Lagrange,P,NYY,22.7,390,-17,13,*062h4*
408,Jordan Lawlar,3B,ARI,23.6,296,-112,13,*05r1m*
409,Harrison Bader,OF,(N/A),31.6,392,-17,13,*03qjv*
410,Jose Caballero,"2B,3B,SS,OF",NYY,29.4,478,68,13,*04eig*
411,Jeffrey Springs,P,ATH,33.3,394,-17,13,*04mlr*
412,J.T. Realmuto,C,(N/A),34.9,395,-17,13,*025i9*
413,Edgar Quero,C,CHW,22.8,396,-17,13,*05un2*
414,Daniel Palencia,P,CHC,26,397,-17,13,*05u4l*
415,Ethan Holliday,SS,COL,18.9,398,-17,13,*062cx*
416,Cam Caminiti,P,ATL,19.5,399,-17,13,*062e0*
417,Nestor Cortes Jr.,P,(N/A),31.1,400,-17,13,*03bin*
418,Luis Severino,P,ATH,31.9,405,-13,13,*03ab0*
419,Jose Ferrer,P,SEA,25.9,402,-17,13,*062ob*
420,Christian Scott,P,NYM,26.6,510,90,13,*05xpq*
421,Mike Yastrzemski,OF,ATL,35.4,404,-17,13,*031dw*
422,Jacob Lopez,P,ATH,27.9,416,-6,13,*051ui*
423,Luis Perales,P,WSH,22.8,406,-17,13,*05gd5*
424,Patrick Bailey,C,SF,26.7,407,-17,13,*04yuu*
425,Andrew Benintendi,OF,CHW,31.6,412,-13,13,*03pdw*
426,Andres Gimenez,"2B,SS",TOR,27.4,409,-17,13,*03pzn*
427,Chandler Simpson,OF,TB,25.2,410,-17,13,*0622w*
428,Nick Castellanos,OF,PHI,33.9,411,-17,13,*01uc9*
429,Lucas Giolito,P,(N/A),31.5,369,-60,13,*02i37*
430,Sean Murphy,C,ATL,31.3,414,-16,13,*03aoy*
431,Braxton Garrett,P,MIA,28.5,761,330,13,*041e3*
432,Noah Schultz,P,CHW,22.5,415,-17,13,*05uc7*
433,Luis Gil,P,NYY,27.6,319,-114,13,*04s1h*
434,Quinn Mathews,P,STL,25.3,417,-17,13,*060gd*
435,Hector Rodriguez,OF,CIN,21.9,418,-17,13,*05xse*
436,Sean Burke,P,CHW,26.1,419,-17,13,*05xod*
437,Joey Ortiz,SS,MIL,27.5,314,-123,13,*0513c*
438,Devin Williams,P,NYM,31.3,421,-17,13,*0311c*
439,Andrew Fischer,3B,MIL,21.7,NR,NA,13,*06k7t*
440,Justin Martinez,P,ARI,24.5,423,-17,13,*05acp*
441,Slade Cecconi,P,CLE,26.6,424,-17,13,*04tk1*
442,Tyler Bremner,P,LAA,21.8,425,-17,13,*06icx*
443,Victor Robles,OF,SEA,28.7,480,37,13,*03c65*
444,Griffin Jax,P,TB,31.2,561,117,13,*0317q*
445,J.P. Crawford,SS,SEA,31,428,-17,13,*0310z*
446,Nolan Arenado,3B,ARI,34.8,429,-17,13,*01sy3*
447,David Bednar,P,NYY,31.3,430,-17,13,*04aqc*
448,Caden Scarborough,P,TEX,20.8,496,48,13,*06f1j*
449,Joe Boyle,P,TB,26.4,431,-18,13,*05jpk*
450,Cole Young,2B,SEA,22.5,432,-18,13,*05y7x*
451,Aroon Escobar,2B,PHI,21.1,433,-18,13,*06423*
452,Otto Kemp,"1B,3B,OF",PHI,26.4,434,-18,13,*066al*
453,Brandon Sproat,P,NYM,25.3,435,-18,13,*0515o*
454,Johan Oviedo,P,BOS,27.9,436,-18,13,*04674*
455,Grant Taylor,P,CHW,23.7,437,-18,13,*066er*
456,Eduardo Tait,C,MIN,19.4,438,-18,13,*06bsb*
457,Parker Messick,P,CLE,25.2,NR,NA,13,*05tzn*
458,Alex Freeland,"2B,3B",LAD,24.4,440,-18,13,*05xu1*
459,Harry Ford,C,WSH,22.9,441,-18,13,*05raw*
460,Chad Patrick,P,MIL,27.4,523,63,13,*05yb8*
461,Jacob Reimer,3B,NYM,21.9,443,-18,13,*06481*
462,Kendry Chourio,P,KC,18.3,444,NA,13,*06rm6*
463,Gage Jump,P,ATH,22.8,445,-18,13,*05t9g*
464,Jake Latz,P,TEX,29.8,NR,NA,13,*03div*
465,Kaelen Culpepper,SS,MIN,23.1,446,-19,13,*06hx4*
466,Khal Stephen,P,CLE,23.1,447,-19,13,*06nub*
467,J.R. Ritchie,P,ATL,22.6,448,-19,13,*05tzo*
468,Michael Wacha,P,KC,34.6,449,-19,14,*02iug*
469,Tanner McDougal,P,CHW,22.8,631,162,14,*05xpj*
470,Yusei Kikuchi,P,LAA,34.6,450,-20,14,*04ml0*
471,Elmer Rodriguez,P,NYY,22.4,616,145,14,*05xoo*
472,David Festa,P,MIN,25.9,452,-20,14,*05yav*
473,Simeon Woods-Richardson,P,MIN,25.3,475,2,14,*04pmp*
474,Pavin Smith,1B,ARI,30,453,-21,14,*04alq*
475,Eduardo Rodriguez,P,ARI,32.8,454,-21,14,*029si*
476,C.J. Kayfus,"1B,OF",CLE,24.2,455,-21,14,*06dn6*
477,Wenceel Perez,OF,DET,26.2,638,161,14,*04an8*
478,Zach Eflin,P,BAL,31.8,456,-22,14,*02mwq*
479,Jacob Melton,OF,TB,25.4,589,110,14,*061gx*
480,Dominic Canzone,OF,SEA,28.4,639,159,14,*05161*
481,Denzel Clarke,OF,ATH,25.7,694,213,14,*05unf*
482,Bo Davidson,OF,SF,23.5,540,58,14,*06hua*
483,Reid Detmers,P,LAA,26.5,529,46,14,*0596g*
484,Dean Kremer,P,BAL,30,458,-26,14,*041yb*
485,Jeferson Quero,C,MIL,23.3,459,-26,14,*05gss*
486,Ricky Tiedemann,P,TOR,23.4,460,-26,14,*05js6*
487,Juneiker Caceres,OF,CLE,18.4,461,-26,14,*06mmx*
488,Franklin Arias,SS,BOS,20.2,462,-26,14,*06c78*
489,Austin Martin,OF,MIN,26.8,718,229,14,*05249*
490,Griffin Conine,OF,MIA,28.5,612,122,14,*04mn2*
491,Jake Burger,1B,TEX,29.8,463,-28,14,*04azv*
492,Nate George,OF,BAL,19.6,587,95,14,*06qr6*
493,Hagen Smith,P,CHW,22.4,464,-29,14,*05zd4*
494,Angel Genao,"3B,SS",CLE,21.7,465,-29,14,*05r5e*
495,Michael Soroka,P,ARI,28.5,557,62,14,*03pjf*
496,Grant Holmes,P,ATL,29.8,466,-30,14,*03d6p*
497,Clarke Schmidt,P,NYY,29.9,538,41,14,*04ee7*
498,Jorge Soler,OF,LAA,33.9,468,-30,14,*02i11*
499,Bo Naylor,C,CLE,25.9,469,-30,14,*04mrn*
500,Mick Abel,P,MIN,24.4,470,-30,14,*05g4k*
